scenario_id,scenario_duration_id,hotspot_label,segment,edge_from,edge_to,is_top25_segment,top_segment_rank,selected_flow_count,estimated_offered_rate_mbps,isl_capacity_mbps,scheduled_load_ratio,edge_rank_by_load,mean_utilization,p95_utilization,max_utilization,utilization_sample_count,yellow_count,red_count,yellow_plus_red_count,br_path_decision_count,br_path_br_selected,br_path_sbr_selected,br_path_fallback,br_path_no_route,br_path_sbr_ratio,br_path_sbr_ratio_no_fallback,sbr_share_of_sample_global_sbr,decision_share_of_sample_global_decisions
H40,H40_60s,Hotspot-Light,55->15,55,15,False,,13,21.666666666666668,10.0,2.166666666666667,3,0.33433458620689654,0.440131,0.470257,58,2,0,2,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,15->684,15,684,False,,13,21.666666666666668,10.0,2.166666666666667,2,0.3244939482758621,0.430092,0.441489,58,4,0,4,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,96->56,96,56,False,,8,13.333333333333334,10.0,1.3333333333333337,21,0.30912174137931037,0.422907,0.541921,58,4,0,4,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,644->604,644,604,False,,13,21.666666666666668,10.0,2.166666666666667,9,0.2971056896551724,0.39992,0.406029,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,684->644,684,644,False,,13,21.666666666666668,10.0,2.166666666666667,12,0.31463244827586206,0.399005,0.430968,58,2,0,2,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,56->16,56,16,False,,8,13.333333333333334,10.0,1.3333333333333337,19,0.28009684482758623,0.396503,0.472544,58,1,0,1,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,16->683,16,683,False,,8,13.333333333333334,10.0,1.3333333333333337,18,0.2778386551724138,0.392012,0.470011,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,643->603,643,603,False,,8,13.333333333333334,10.0,1.3333333333333337,25,0.27883306896551724,0.389567,0.46537,58,2,0,2,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,523->524,523,524,False,,2,3.333333333333333,10.0,0.3333333333333333,61,0.25082341379310347,0.381746,0.401995,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,564->524,564,524,False,,10,16.666666666666668,10.0,1.6666666666666667,16,0.2747103793103448,0.380907,0.388716,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,683->643,683,643,False,,8,13.333333333333334,10.0,1.3333333333333337,28,0.27812875862068964,0.378903,0.457651,58,2,0,2,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,604->564,604,564,False,,13,21.666666666666668,10.0,2.166666666666667,7,0.287430724137931,0.375759,0.380907,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,603->563,603,563,False,,8,13.333333333333334,10.0,1.3333333333333337,23,0.27031831034482756,0.367061,0.375771,58,1,0,1,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,522->523,522,523,False,,2,3.333333333333333,10.0,0.3333333333333333,59,0.1519401551724138,0.308342,0.344859,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,563->523,563,523,False,,6,10.0,10.0,1.0,34,0.24531268965517242,0.305438,0.343657,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,524->523,524,523,False,,2,3.333333333333333,10.0,0.3333333333333333,62,0.18390677586206897,0.26315,0.290787,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,521->522,521,522,False,,1,1.6666666666666667,10.0,0.1666666666666666,98,0.14037994827586206,0.240233,0.283577,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,523->522,523,522,False,,2,3.333333333333333,10.0,0.3333333333333333,60,0.09132156896551724,0.224699,0.237304,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,559->520,559,520,False,,1,1.6666666666666667,10.0,0.1666666666666666,105,0.049887137931034484,0.114152,0.144192,56,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,520->521,520,521,False,,1,1.6666666666666667,10.0,0.1666666666666666,95,0.04191101724137931,0.108144,0.144192,57,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,522->521,522,521,False,,1,1.6666666666666667,10.0,0.1666666666666666,99,0.06869496551724139,0.104539,0.115354,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,557->558,557,558,False,,1,1.6666666666666667,10.0,0.1666666666666666,102,0.039342086206896554,0.08291,0.114152,53,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,558->559,558,559,False,,1,1.6666666666666667,10.0,0.1666666666666666,104,0.037829689655172416,0.080507,0.11295,52,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,521->520,521,520,False,,1,1.6666666666666667,10.0,0.1666666666666666,97,0.001678155172413793,0.019226,0.020427,22,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,520->559,520,559,False,,1,1.6666666666666667,10.0,0.1666666666666666,96,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,558->557,558,557,False,,1,1.6666666666666667,10.0,0.1666666666666666,103,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,559->558,559,558,False,,1,1.6666666666666667,10.0,0.1666666666666666,106,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,176->136,176,136,True,1,4,8.0,10.0,0.8,40,0.5224884137931034,0.669628,0.726871,58,54,134,188,2109,1667,442,0,0,0.20957799905168326,0.20957799905168326,0.04752177185248898,0.000703
H60,H60_60s,Hotspot-Moderate,135->95,135,95,True,2,11,22.0,10.0,2.2,22,0.4339843620689655,0.660879,0.665506,58,61,44,105,2159,1285,874,0,0,0.4048170449282075,0.4048170449282075,0.09396839049564563,0.0007196666666666666
H60,H60_60s,Hotspot-Moderate,175->135,175,135,True,3,5,10.0,10.0,1.0,36,0.494044,0.658235,0.704256,58,77,76,153,2301,1426,875,0,0,0.3802694480660582,0.3802694480660582,0.09407590581657886,0.000767
