scenario,Baseline,Queue-aware,LoHi,LHTR
H40,386.70366395523854,196.1019202704169,226.10751122453107,198.3505423855404
H60,746.4019000998169,201.66778908713292,243.76687685545775,203.6770238765264
H80,775.9558828881129,212.95297419542845,273.13105027081656,234.30902498052652
H90,1351.669122130798,258.5703960161247,372.9697128602888,321.37841136865376
H100+,1356.5706574147914,285.0835882942589,410.4775165415799,360.5722177702471
