scenario,Baseline,Queue-aware,LoHi,LHTR
H40,0.8284353277060575,0.9986397302217808,0.9257592684541542,0.9989345415425356
H60,0.6582380779973105,0.98420528602462,0.751874935347057,0.9791074014689148
H80,0.5346952827992862,0.9588360229653192,0.5904429164403755,0.8841696407789588
H90,0.3406743120991555,0.8231617577911942,0.4023056198160582,0.6006201922172695
H100+,0.2950295930129455,0.7360707793935095,0.3340463734704735,0.5007315126795531
