scenario,Baseline,Queue-aware,LoHi,LHTR
H40,550.8785210066261,202.29184310448247,247.06317747183536,206.1034903147333
H60,793.6698855660435,220.55705033801144,299.0574650463238,219.80862908766173
H80,798.4801108594429,249.28120281697457,391.65236621424816,310.345026489878
H90,1535.486564664636,321.9047868707636,592.0875536043176,471.2284487650721
H100+,1518.792339308318,367.911232404237,648.1867257651028,536.474862570147
