scenario,Baseline,Queue-aware,LoHi,LHTR
H40,0.9786494538232372,0.9983862959285004,0.9365690168818273,0.9988207547169812
H60,0.3978483500568946,0.99275887038378,0.8008689355539464,0.9884141926140478
H80,0.2371014042982388,0.9797889673364883,0.7110326635115215,0.9293195748312516
H90,0.3279354511087288,0.905687524685437,0.4749478079331941,0.7205044292726965
H100+,0.0237187444582372,0.8287595318318851,0.3896524206419578,0.6115446001064019
