scenario,Baseline,Queue-aware,LoHi,LHTR
H40,108411,369,12310,207
H60,256097,3925,68109,5707
H80,384469,14156,145229,42159
H90,807427,108747,390090,254829
H100+,876972,198600,522792,377874
