scenario,baseline_pdr,lohi_pdr,lhtr_pdr,queue_aware_pdr,lhtr_minus_lohi_percentage_points,queue_aware_minus_lhtr_percentage_points,observed_ascending_order,matches_ideal_order
H40,0.8399902604843021,0.9265907875639752,0.9989257887098006,0.998620235276144,7.233500114582547,-0.03055534336566801,Baseline < LoHi < Queue-aware < LHTR,False
H60,0.6429210351772859,0.7547569353592269,0.9796548597715696,0.9847084380457468,22.48979244123427,0.5053578274177184,Baseline < LoHi < LHTR < Queue-aware,True
H80,0.5171897605345187,0.5975364309739724,0.8868255192526231,0.9600685491047998,28.928908827865072,7.324302985217668,Baseline < LoHi < LHTR < Queue-aware,True
H90,0.3401647576595384,0.4052113073407437,0.6054155616994865,0.8264627884669639,20.020425435874284,22.104722676747734,Baseline < LoHi < LHTR < Queue-aware,True
H100+,0.2841771590707572,0.3362706153573329,0.5051640361766271,0.7397783294910445,16.88934208192942,23.461429331441742,Baseline < LoHi < LHTR < Queue-aware,True
