scenario,duration_s,traffic_stop_s,algorithm,aggregate_pdr,focus_pdr,background_pdr,min_flow_pdr,p5_flow_pdr,mean_rtt_ms,p95_rtt_ms,mean_propagation_only_rtt_ms,mean_queue_delay_ms,forward_hop_count_mean,reverse_hop_count_mean,forward_hop_count_range,reverse_hop_count_range,lost_packets,lost_packets_per_traffic_s,dominant_loss,isl_associated_loss_ratio,gsl_associated_loss_ratio,mixed_associated_loss_ratio,physical_drop_count,rank_by_pdr,rank_by_rtt,rtt_valid_sample_count,route_plot_exists,route_plot_count
H80,60,58.0,Queue-aware,0.9600685491047998,0.9797889673364883,0.9588360229653192,0.9301730157498642,0.930576460547754,212.95297419542845,249.28120281697457,168.47156696651277,1.5738685025817558,19.67814113597246,19.67814113597246,18-29,18-29,17499,301.7068965517241,isl_saturation_associated_loss,1.0,0.0,0.0,0,1,1,581,True,9
H80,60,58.0,LHTR,0.8868255192526231,0.9293195748312516,0.8841696407789588,0.8123981689813019,0.8395104352548685,234.30902498052652,310.345026489878,169.68104838844403,20.648492943201376,20.124784853700515,20.124784853700515,18-34,18-34,49596,855.1034482758621,isl_saturation_associated_loss,1.0,0.0,0.0,0,2,2,581,True,9
H80,60,58.0,LoHi,0.5975364309739724,0.7110326635115215,0.5904429164403755,0.4063154627977345,0.4152882302738769,273.13105027081656,391.65236621424816,187.2953408043794,33.290993459552496,23.693631669535286,23.693631669535286,18-41,18-41,176370,3040.862068965517,isl_saturation_associated_loss,1.0,0.0,0.0,0,3,3,581,True,9
H80,60,58.0,Baseline,0.5171897605345187,0.2371014042982388,0.5346952827992862,0.1173093335402281,0.1217511055939172,775.9558828881129,798.4801108594429,150.9482463993005,585.4914919104991,18.265060240963855,18.265060240963855,18-20,18-20,211580,3647.9310344827586,isl_saturation_associated_loss,1.0,0.0,0.0,0,4,4,581,True,9
H80,200,198.0,Queue-aware,0.9631183155080214,0.9820113636363637,0.9619375,0.9383636363636364,0.9419613636363636,226.13131615769225,263.0635633349013,178.3546166602048,1.672578894472362,21.01005025125628,21.01005025125628,18-29,18-29,55175,278.66161616161617,isl_saturation_associated_loss,1.0,0.0,0.0,0,1,1,199,True,24
H80,200,198.0,LHTR,0.8999585561497326,0.9303977272727272,0.8980561079545455,0.8617045454545454,0.8684329545454545,250.56624087846916,340.5030762001376,180.7636358533435,22.637177889447237,21.452261306532662,21.452261306532662,18-33,18-33,149662,755.8686868686868,isl_saturation_associated_loss,1.0,0.0,0.0,0,2,2,199,True,24
H80,200,198.0,LoHi,0.6114131016042781,0.697659090909091,0.6060227272727273,0.4072045454545454,0.4130136363636363,286.66881665407254,404.98153749797785,194.91139755859516,37.753801005025124,24.301507537688444,24.301507537688444,18-38,18-38,581326,2935.989898989899,isl_saturation_associated_loss,1.0,0.0,0.0,0,3,3,199,True,24
H80,200,198.0,Baseline,0.4696377005347593,0.52225,0.46634943181818184,0.0695227272727272,0.1001318181818181,982.139715165198,1207.0848508024046,158.75251516519822,780.9373507537689,19.487437185929647,19.487437185929647,18-20,18-20,793422,4007.181818181818,isl_saturation_associated_loss,1.0,0.0,0.0,0,4,4,199,True,24
