result_scope,scenario,hotspot_label,duration_s,traffic_stop_s,load_level,background_flow_count,hotspot_reference_load_percent,global_offered_isl_load_percent,algorithm,algorithm_label,aggregate_pdr,focus_pdr,background_pdr,min_flow_pdr,p5_flow_pdr,lost_packets,mean_rtt_ms,p95_rtt_ms,mean_propagation_only_rtt_ms,mean_queue_delay_ms,dominant_loss_attribution,isl_associated_loss_ratio,gsl_associated_loss_ratio,mixed_associated_loss_ratio,lhtr_br_selected_count,lhtr_sbr_selected_count,lhtr_sbr_selection_ratio,lhtr_fallback_count,lhtr_yellow_count,lhtr_red_count,lhtr_top_decision_reasons,route_plot_exists
5-level formal curve,H90,Hotspot-Severe,60,58.0,2.2,48,91.171171172,7.027777778,algorithm_queue_aware_over_isls,Queue-aware,0.8264627884669639,0.905687524685437,0.8231617577911942,0.6802460080121876,0.7091265587090222,153780,258.5703960161247,321.9047868707636,195.3897282020111,10.668998278829603,isl_saturation_associated_loss:153780,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H90,Hotspot-Severe,60,58.0,2.2,48,91.171171172,7.027777778,algorithm_lohi,LoHi,0.4052113073407437,0.4749478079331941,0.4023056198160582,0.2053264120069965,0.2169864018507024,527072,372.9697128602888,592.0875536043176,193.10097069161407,125.26688330464717,isl_saturation_associated_loss:527072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H90,Hotspot-Severe,60,58.0,2.2,48,91.171171172,7.027777778,algorithm_lhtr,LHTR,0.6054155616994865,0.7205044292726965,0.6006201922172695,0.354116120295661,0.4150256728544829,349661,321.37841136865376,471.2284487650721,175.90802238414432,99.52877108433736,isl_saturation_associated_loss:349661,1.0,0.0,0.0,78914245.0,797732.0,0.0100076805271057,0.0,1241457.0,257424.0,br_green:57559079;no_alternative_candidate:18849013;sbr_stretch_too_high:2461182;sbr_due_to_yellow:666056;sbr_due_to_red:127604,True
5-level formal curve,H100+,Hotspot-Overload,60,58.0,2.8,48,116.036036037,8.944444445,algorithm_free_one_only_over_isls,Baseline,0.2841771590707572,0.0237187444582372,0.2950295930129455,0.0020393686823904,0.015692055328959,807305,1356.5706574147914,1518.792339308318,150.9482463993005,1166.1062664371775,isl_saturation_associated_loss:807305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H100+,Hotspot-Overload,60,58.0,2.8,48,116.036036037,8.944444445,algorithm_queue_aware_over_isls,Queue-aware,0.7397783294910445,0.8287595318318851,0.7360707793935095,0.5332062422415322,0.5879987586451498,293478,285.0835882942589,367.911232404237,209.0721569689577,18.47256729776248,isl_saturation_associated_loss:293478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H100+,Hotspot-Overload,60,58.0,2.8,48,116.036036037,8.944444445,algorithm_lohi,LoHi,0.3362706153573329,0.3896524206419578,0.3340463734704735,0.138411065791807,0.1469786309629367,748554,410.4775165415799,648.1867257651028,196.090691068258,158.85760000000005,isl_saturation_associated_loss:748554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H100+,Hotspot-Overload,60,58.0,2.8,48,116.036036037,8.944444445,algorithm_lhtr,LHTR,0.5051640361766271,0.6115446001064019,0.5007315126795531,0.2279659514098244,0.3188486433764852,558076,360.5722177702471,536.474862570147,176.70531266679876,137.59242234482758,isl_saturation_associated_loss:558076,1.0,0.0,0.0,78570749.0,1219609.0,0.0152851676639926,0.0,1857141.0,384444.0,br_green:57023047;no_alternative_candidate:18676200;sbr_stretch_too_high:2783384;sbr_due_to_yellow:1025809;sbr_due_to_red:185462,True
H80 long-duration validation,H80,Hotspot-High,200,198.0,1.6,32,78.872549021,3.724537037,algorithm_queue_aware_over_isls,Queue-aware,0.9631183155080214,0.9820113636363637,0.9619375,0.9383636363636364,0.9419613636363636,55175,226.13131615769225,263.0635633349013,178.3546166602048,1.672578894472362,isl_saturation_associated_loss,1.0,0.0,0.0,,,,,,,,True
H80 long-duration validation,H80,Hotspot-High,200,198.0,1.6,32,78.872549021,3.724537037,algorithm_lhtr,LHTR,0.8999585561497326,0.9303977272727272,0.8980561079545455,0.8617045454545454,0.8684329545454545,149662,250.56624087846916,340.5030762001376,180.7636358533435,22.637177889447237,isl_saturation_associated_loss,1.0,0.0,0.0,264753700.0,277857.0,0.001048392135431631,0.0,475221.0,94598.0,br_green:193852374;no_alternative_candidate:64958303;sbr_stretch_too_high:5937104;sbr_due_to_yellow:232400;sbr_due_to_red:45265,True
H80 long-duration validation,H80,Hotspot-High,200,198.0,1.6,32,78.872549021,3.724537037,algorithm_lohi,LoHi,0.6114131016042781,0.697659090909091,0.6060227272727273,0.4072045454545454,0.4130136363636363,581326,286.66881665407254,404.98153749797785,194.91139755859516,37.753801005025124,isl_saturation_associated_loss,1.0,0.0,0.0,,,,,,,,True
H80 long-duration validation,H80,Hotspot-High,200,198.0,1.6,32,78.872549021,3.724537037,algorithm_free_one_only_over_isls,Baseline,0.4696377005347593,0.52225,0.46634943181818184,0.0695227272727272,0.1001318181818181,793422,982.139715165198,1207.0848508024046,158.75251516519822,780.9373507537689,isl_saturation_associated_loss,1.0,0.0,0.0,,,,,,,,True
