algorithm,algorithm_label,synthetic_lost_packets,exact_physical_queue_loss,exact_physical_phy_loss,exact_routing_loss,exact_udp_send_failure_loss,isl_saturation_associated_loss,gsl_saturation_associated_loss,mixed_saturation_associated_loss,tail_in_flight_possible_loss,unclassified_loss,dominant_loss_attribution,dominant_loss_proportion,path_replay_success_ratio,attribution_coverage_ratio,attribution_confidence,notes
algorithm_lhtr,LHTR,49596,0,0,0,0,49596,0,0,0,0,isl_saturation_associated_loss:49596,1.0,0.999949290060852,1.0,medium,exact categories use tagged stable packet keys; saturation categories require overlapping replay path and *_queue_pkt_history.csv
algorithm_backpressure_over_isls,Backpressure,147913,0,0,0,0,147913,0,0,0,0,isl_saturation_associated_loss:147913,1.0,1.0,1.0,medium,exact categories use tagged stable packet keys; saturation categories require overlapping replay path and *_queue_pkt_history.csv
