scenario_id,comparison_basis,run_name,algorithm,algorithm_label,aggregate_pdr,focus_pdr,background_pdr,min_flow_pdr,p5_flow_pdr,lost_packets,aggregate_pdr_delta_vs_lhtr,focus_pdr_delta_vs_lhtr,lost_packets_delta_vs_lhtr,mean_rtt_ms,p95_rtt_ms,mean_propagation_rtt_ms,mean_queue_delay_ms,dominant_loss_attribution,isl_saturation_samples,gsl_saturation_samples,isl_saturated_interface_count,gsl_saturated_interface_count,path_replay_success_ratio,route_plot_count,route_plot_exists,notes
H80,paired_new_run,run_core_isl_hotspot_specific_src754_dst785_load_1p6x_bg_flow_count_32_sim60s_stop58s_isl10mbps_gsl100mbps_lohi_mgmt_control_plane_only_bp_qnodebytes_fbsp_lgfwphop_oneweb_isls_moving_udp_pdr,algorithm_lhtr,LHTR,0.8868255192526231,0.9293195748312515,0.8841696407789588,0.8123981689813019,0.8395104352548685,49596,0.0,0.0,0,234.30902498052654,310.34502648987797,169.68104838844403,64.62797659208252,isl_saturation_associated_loss:49596,42159,0,286,0,0.999949290060852,9,true,paired LHTR baseline
H80,paired_new_run,run_core_isl_hotspot_specific_src754_dst785_load_1p6x_bg_flow_count_32_sim60s_stop58s_isl10mbps_gsl100mbps_lohi_mgmt_control_plane_only_bp_qnodebytes_fbsp_lgfwphop_oneweb_isls_moving_udp_pdr,algorithm_backpressure_over_isls,Backpressure,0.6624732443990087,0.44390565598572423,0.676133718674839,0.1681278609667158,0.2875242454806424,147913,-0.22435227485361442,-0.48541391884552726,98317,1230.0295506430052,1488.6759902258048,154.2295120887883,1075.8000385542168,isl_saturation_associated_loss:147913,541046,0,31,0,1.0,9,true,restricted-route queue-proxy Backpressure variant
