queue_source,loop_detected_count,loop_detected_ratio,reached_destination_count,reached_destination_ratio,unreached_count,avg_loop_length,fallback_ratio,positive_pressure_ratio,fallback_reason_summary,top_fallback_nodes,top_fallback_destinations,top_fallback_times_ns,positive_pressure_vs_fallback_path_success,positive_pressure_vs_fallback_loop_rate,top_repeated_loop_patterns,top_loop_edges,time_distribution_of_loops
node_total_queue_bytes,187,0.935,13,0.065,187,5.422459893048129,0.6835055555555556,0.3144441666666667,no_positive_pressure (106664); missing_queue (1983),0 (10000); 1 (10000); 2 (9702); 3 (9312); 4 (9207),785 (1403); 754 (1373); 720 (1093); 722 (1093); 723 (1093),9800000000 (1984); 9900000000 (1984); 0 (1983); 100000000 (1783); 300000000 (1683),positive_success=0.0260; fallback_only_success=1.0000,positive_loop=0.9740; fallback_only_loop=0.0000,216->176->216 (17); 517->518->517 (12); 558->559->558 (11); 217->177->217 (10); 557->558->557 (9),754->557 (96); 785->216 (91); 557->558 (52); 558->559 (35); 216->176 (29),100000000 (2); 300000000 (2); 500000000 (2); 600000000 (2); 900000000 (2)
interface_nonreturn_avg_bytes,198,0.99,2,0.01,198,9.0,0.9741206944444445,0.02382902777777778,no_positive_pressure (176289); missing_queue (1983),0 (10000); 1 (10000); 5 (10000); 6 (10000); 7 (10000),785 (2445); 754 (2050); 720 (1802); 722 (1802); 723 (1802),0 (1983); 8400000000 (1784); 8500000000 (1784); 8600000000 (1784); 8700000000 (1784),positive_success=0.0000; fallback_only_success=1.0000,positive_loop=1.0000; fallback_only_loop=0.0000,603->643->603 (99); 56->16->56 (99),754->557 (99); 557->558 (99); 558->559 (99); 559->520 (99); 520->521 (99),100000000 (2); 200000000 (2); 300000000 (2); 400000000 (2); 500000000 (2)
interface_nonreturn_min_bytes,198,0.99,2,0.01,198,9.0,0.97114625,0.02680347222222222,no_positive_pressure (180303); missing_queue (1983),0 (10000); 1 (10000); 5 (10000); 6 (10000); 7 (10000),785 (2485); 754 (2006); 720 (1843); 722 (1843); 723 (1843),0 (1983); 8500000000 (1884); 8600000000 (1884); 8700000000 (1884); 8800000000 (1884),positive_success=0.0000; fallback_only_success=1.0000,positive_loop=1.0000; fallback_only_loop=0.0000,603->643->603 (99); 56->16->56 (99),754->557 (99); 557->558 (99); 558->559 (99); 559->520 (99); 520->521 (99),100000000 (2); 200000000 (2); 300000000 (2); 400000000 (2); 500000000 (2)
