queue_source,aggregate_pdr,focus_pdr,background_pdr,mean_rtt_ms,p95_rtt_ms,fallback_ratio,positive_pressure_ratio,loop_detected_ratio,reached_destination_ratio,avg_path_stretch,path_replay_success_ratio,diagnostic_notes
node_total_queue_bytes,0.07013829153708727,0.11220472440944881,0.06750913948256468,188.27371931582837,188.27371931582837,0.6835055555555556,0.3144441666666667,0.935,0.065,0.3472222222222222,0.01948529411764706,original auto queue source; effective source is node_total_queue_bytes
interface_nonreturn_avg_bytes,0.0633064249321776,0.0005624296962879641,0.06722792463442069,188.27371931582837,188.27371931582837,0.9741206944444445,0.02382902777777778,0.99,0.01,0.505,0.09963235294117648,interface-aware non-return average queue proxy smoke
interface_nonreturn_min_bytes,0.062231191689274136,0.0005624296962879641,0.06608548931383577,188.27371931582832,188.27371931582832,0.97114625,0.02680347222222222,0.99,0.01,0.505,0.07169117647058823,interface-aware non-return minimum queue proxy smoke
