window_start_s,window_end_s,br_selected,sbr_selected,fallback,sbr_ratio,sbr_ratio_no_fallback,yellow_count,red_count,yellow_plus_red_count,traffic_light_link_samples,congestion_score,is_top25_congested_window
54.0,55.0,1324525,1150,0,0.0008674826032021424,0.0008674826032021424,308,116,424,28800,540,False
55.0,56.0,1325026,1082,0,0.0008159214784919478,0.0008159214784919478,303,110,413,28800,523,False
56.0,57.0,1325225,851,0,0.0006417430071881249,0.0006417430071881249,314,135,449,28800,584,False
57.0,58.0,1325059,1075,0,0.0008106269803805649,0.0008106269803805649,325,99,424,28800,523,False
58.0,59.0,1324303,1722,0,0.0012986180501875907,0.0012986180501875907,379,105,484,28800,589,False
59.0,60.0,1325877,631,0,0.00047568503167715536,0.00047568503167715536,254,91,345,28800,436,False
60.0,61.0,1324756,839,0,0.000632923328769345,0.000632923328769345,229,103,332,28800,435,False
61.0,62.0,1325227,1139,0,0.0008587373319279897,0.0008587373319279897,288,102,390,28800,492,False
62.0,63.0,1325052,1182,0,0.0008912454363257163,0.0008912454363257163,288,108,396,28800,504,False
63.0,64.0,1324168,1358,0,0.001024498953622939,0.001024498953622939,327,118,445,28800,563,False
64.0,65.0,1324051,1806,0,0.0013621378474450864,0.0013621378474450864,342,120,462,28800,582,False
65.0,66.0,1326178,1320,0,0.0009943517805676544,0.0009943517805676544,389,133,522,28800,655,True
66.0,67.0,1326004,1250,0,0.0009417941102456651,0.0009417941102456651,315,143,458,28800,601,False
67.0,68.0,1325131,684,0,0.0005159090823380336,0.0005159090823380336,265,101,366,28800,467,False
68.0,69.0,1324990,982,0,0.0007405887907135294,0.0007405887907135294,295,129,424,28800,553,False
69.0,70.0,1324950,1616,0,0.001218182887244208,0.001218182887244208,311,127,438,28800,565,False
70.0,71.0,1325530,1350,0,0.0010174243337754733,0.0010174243337754733,327,107,434,28800,541,False
71.0,72.0,1325765,1202,0,0.000905825088340554,0.000905825088340554,306,117,423,28800,540,False
72.0,73.0,1325439,1305,0,0.000983611005589624,0.000983611005589624,339,144,483,28800,627,True
73.0,74.0,1325541,1496,0,0.0011273235034139966,0.0011273235034139966,318,121,439,28800,560,False
74.0,75.0,1324494,1290,0,0.0009730091779656415,0.0009730091779656415,318,128,446,28800,574,False
75.0,76.0,1325510,937,0,0.0007063983709865528,0.0007063983709865528,316,110,426,28800,536,False
76.0,77.0,1324657,2233,0,0.0016828825298253812,0.0016828825298253812,334,147,481,28800,628,True
77.0,78.0,1325607,2010,0,0.001513990857302972,0.001513990857302972,351,140,491,28800,631,True
78.0,79.0,1326187,997,0,0.0007512146017432398,0.0007512146017432398,336,125,461,28800,586,False
79.0,80.0,1324427,1949,0,0.0014694174200980718,0.0014694174200980718,319,134,453,28800,587,False
80.0,81.0,1325304,960,0,0.00072383778795172,0.00072383778795172,293,116,409,28800,525,False
81.0,82.0,1324826,1663,0,0.0012536854809953191,0.0012536854809953191,324,113,437,28800,550,False
82.0,83.0,1324717,1096,0,0.0008266625836373606,0.0008266625836373606,278,92,370,28800,462,False
83.0,84.0,1325959,871,0,0.0006564518438684684,0.0006564518438684684,289,62,351,28800,413,False
84.0,85.0,1322965,1593,0,0.001202665341948031,0.001202665341948031,289,112,401,28800,513,False
85.0,86.0,1324317,1306,0,0.0009851971488122942,0.0009851971488122942,300,101,401,28800,502,False
86.0,87.0,1323321,1404,0,0.0010598426088433447,0.0010598426088433447,289,115,404,28800,519,False
87.0,88.0,1324478,905,0,0.0006828214938625288,0.0006828214938625288,261,111,372,28800,483,False
88.0,89.0,1324854,533,0,0.000402146693758125,0.000402146693758125,276,106,382,28800,488,False
89.0,90.0,1324074,1149,0,0.0008670238895642469,0.0008670238895642469,313,110,423,28800,533,False
90.0,91.0,1324207,975,0,0.0007357479953696926,0.0007357479953696926,270,134,404,28800,538,False
91.0,92.0,1325047,998,0,0.0007526139761471142,0.0007526139761471142,270,111,381,28800,492,False
92.0,93.0,1325383,921,0,0.0006944109344464015,0.0006944109344464015,253,97,350,28800,447,False
93.0,94.0,1325292,501,0,0.00037788704571528137,0.00037788704571528137,277,84,361,28800,445,False
94.0,95.0,1324977,1194,0,0.0009003363819597925,0.0009003363819597925,312,108,420,28800,528,False
95.0,96.0,1325705,1177,0,0.0008870419524871089,0.0008870419524871089,363,125,488,28800,613,True
96.0,97.0,1323528,1924,0,0.0014515802911006961,0.0014515802911006961,332,127,459,28800,586,False
97.0,98.0,1325541,675,0,0.0005089668651260428,0.0005089668651260428,264,101,365,28800,466,False
98.0,99.0,1323577,901,0,0.0006802679999214785,0.0006802679999214785,312,118,430,28800,548,False
99.0,100.0,1324325,1760,0,0.0013272150729402715,0.0013272150729402715,286,124,410,28800,534,False
100.0,101.0,1324621,1239,0,0.0009344878041422171,0.0009344878041422171,392,158,550,28800,708,True
101.0,102.0,1323519,2017,0,0.0015216486010187578,0.0015216486010187578,367,132,499,28800,631,True
102.0,103.0,1324275,1879,0,0.0014168791859768925,0.0014168791859768925,364,147,511,28800,658,True
103.0,104.0,1322038,2312,0,0.0017457620719598292,0.0017457620719598292,369,150,519,28800,669,True
104.0,105.0,1323470,1425,0,0.0010755569309266017,0.0010755569309266017,273,112,385,28800,497,False
105.0,106.0,1323802,1154,0,0.0008709723190807846,0.0008709723190807846,344,109,453,28800,562,False
106.0,107.0,1323708,1036,0,0.000782037888074979,0.000782037888074979,300,112,412,28800,524,False
107.0,108.0,1324279,1120,0,0.0008450285536657263,0.0008450285536657263,309,135,444,28800,579,False
108.0,109.0,1323473,1020,0,0.0007701059952751732,0.0007701059952751732,321,117,438,28800,555,False
109.0,110.0,1324139,1351,0,0.0010192457129061705,0.0010192457129061705,333,124,457,28800,581,False
110.0,111.0,1323178,2894,0,0.002182385270181408,0.002182385270181408,325,132,457,28800,589,False
111.0,112.0,1323851,1363,0,0.0010285131307094552,0.0010285131307094552,333,113,446,28800,559,False
112.0,113.0,1325790,1115,0,0.0008403013026554275,0.0008403013026554275,313,113,426,28800,539,False
113.0,114.0,1323486,1696,0,0.001279824205278973,0.001279824205278973,374,122,496,28800,618,True
114.0,115.0,1324148,1364,0,0.0010290363270947377,0.0010290363270947377,359,143,502,28800,645,True
115.0,116.0,1323941,1517,0,0.0011445100486020682,0.0011445100486020682,327,139,466,28800,605,True
116.0,117.0,1325460,908,0,0.0006845762262056986,0.0006845762262056986,288,119,407,28800,526,False
117.0,118.0,1324367,1175,0,0.0008864298528451003,0.0008864298528451003,326,127,453,28800,580,False
118.0,119.0,1323457,1713,0,0.0012926643374057667,0.0012926643374057667,307,133,440,28800,573,False
119.0,120.0,1323010,1364,0,0.0010299205511434082,0.0010299205511434082,317,109,426,28800,535,False
120.0,121.0,1325251,983,0,0.000741196500768341,0.000741196500768341,360,116,476,28800,592,False
121.0,122.0,1320860,3990,0,0.003011661697550666,0.003011661697550666,334,118,452,28800,570,False
122.0,123.0,1322759,1612,0,0.0012171815903549686,0.0012171815903549686,329,97,426,28800,523,False
123.0,124.0,1323413,1032,0,0.0007791943040292349,0.0007791943040292349,316,113,429,28800,542,False
124.0,125.0,1322579,2308,0,0.0017420353584871766,0.0017420353584871766,293,104,397,28800,501,False
125.0,126.0,1325251,1083,0,0.00081653640787313,0.00081653640787313,300,136,436,28800,572,False
126.0,127.0,1322477,3336,0,0.002516191951655324,0.002516191951655324,396,153,549,28800,702,True
127.0,128.0,1324584,1233,0,0.0009299926007887967,0.0009299926007887967,332,108,440,28800,548,False
128.0,129.0,1324545,665,0,0.0005018072607360343,0.0005018072607360343,232,122,354,28800,476,False
129.0,130.0,1323440,1320,0,0.0009964068963434886,0.0009964068963434886,312,134,446,28800,580,False
130.0,131.0,1324021,1679,0,0.0012665007166025497,0.0012665007166025497,310,135,445,28800,580,False
131.0,132.0,1324612,947,0,0.0007144155786351267,0.0007144155786351267,243,108,351,28800,459,False
132.0,133.0,1324395,1212,0,0.0009142981290835066,0.0009142981290835066,302,100,402,28800,502,False
133.0,134.0,1324400,1026,0,0.0007740907451641963,0.0007740907451641963,300,121,421,28800,542,False
134.0,135.0,1324498,872,0,0.0006579294838422479,0.0006579294838422479,314,129,443,28800,572,False
135.0,136.0,1323602,1029,0,0.0007768201106572321,0.0007768201106572321,289,112,401,28800,513,False
136.0,137.0,1325403,996,0,0.0007509052705860002,0.0007509052705860002,322,111,433,28800,544,False
137.0,138.0,1325111,740,0,0.0005581320977998282,0.0005581320977998282,270,128,398,28800,526,False
138.0,139.0,1325379,1036,0,0.0007810526871303476,0.0007810526871303476,313,107,420,28800,527,False
139.0,140.0,1324164,841,0,0.0006347145859826944,0.0006347145859826944,330,105,435,28800,540,False
140.0,141.0,1324524,891,0,0.0006722422788334219,0.0006722422788334219,299,96,395,28800,491,False
141.0,142.0,1323747,1405,0,0.0010602557291540895,0.0010602557291540895,324,106,430,28800,536,False
142.0,143.0,1323002,1343,0,0.0010140862086540894,0.0010140862086540894,364,120,484,28800,604,True
143.0,144.0,1323636,1226,0,0.0009253793980052262,0.0009253793980052262,327,114,441,28800,555,False
144.0,145.0,1323343,896,0,0.0006766150219106974,0.0006766150219106974,326,136,462,28800,598,False
145.0,146.0,1324172,1182,0,0.0008918371997217347,0.0008918371997217347,324,106,430,28800,536,False
146.0,147.0,1324988,1503,0,0.0011330646042830295,0.0011330646042830295,378,130,508,28800,638,True
147.0,148.0,1323644,2441,0,0.0018407568142313653,0.0018407568142313653,353,135,488,28800,623,True
148.0,149.0,1322453,1375,0,0.0010386545684182538,0.0010386545684182538,321,104,425,28800,529,False
149.0,150.0,1324290,851,0,0.0006421958116155186,0.0006421958116155186,275,84,359,28800,443,False
150.0,151.0,1324035,804,0,0.0006068661927977663,0.0006068661927977663,267,106,373,28800,479,False
151.0,152.0,1323516,917,0,0.0006923717545545906,0.0006923717545545906,275,93,368,28800,461,False
152.0,153.0,1323616,1059,0,0.0007994413724121011,0.0007994413724121011,282,113,395,28800,508,False
153.0,154.0,1325602,913,0,0.0006882696388657497,0.0006882696388657497,271,115,386,28800,501,False
154.0,155.0,1321808,3561,0,0.0026867989216587986,0.0026867989216587986,341,116,457,28800,573,False
155.0,156.0,1324267,1167,0,0.000880466322729008,0.000880466322729008,291,107,398,28800,505,False
156.0,157.0,1324549,719,0,0.0005425317747051917,0.0005425317747051917,309,97,406,28800,503,False
157.0,158.0,1323897,1205,0,0.0009093639583971649,0.0009093639583971649,318,135,453,28800,588,False
158.0,159.0,1323741,1569,0,0.0011838739615637095,0.0011838739615637095,296,105,401,28800,506,False
159.0,160.0,1324293,1373,0,0.0010357058263544513,0.0010357058263544513,284,105,389,28800,494,False
160.0,161.0,1322997,989,0,0.0007469867506151878,0.0007469867506151878,314,83,397,28800,480,False
161.0,162.0,1323581,605,0,0.00045688445580907816,0.00045688445580907816,282,72,354,28800,426,False
162.0,163.0,1323688,1009,0,0.0007616836151965317,0.0007616836151965317,319,121,440,28800,561,False
163.0,164.0,1324680,845,0,0.0006374832613492767,0.0006374832613492767,305,97,402,28800,499,False
164.0,165.0,1323073,1853,0,0.0013985686747788179,0.0013985686747788179,336,124,460,28800,584,False
165.0,166.0,1324491,1325,0,0.0009993845299800274,0.0009993845299800274,269,130,399,28800,529,False
166.0,167.0,1323371,1536,0,0.00115932665462557,0.00115932665462557,329,126,455,28800,581,False
167.0,168.0,1322384,1291,0,0.0009753149375790885,0.0009753149375790885,335,138,473,28800,611,True
168.0,169.0,1323979,1376,0,0.0010382124034692593,0.0010382124034692593,333,135,468,28800,603,False
169.0,170.0,1323035,2170,0,0.0016374825027071283,0.0016374825027071283,370,138,508,28800,646,True
170.0,171.0,1323099,1253,0,0.000946123085101242,0.000946123085101242,308,128,436,28800,564,False
171.0,172.0,1323596,2781,0,0.002096688950426613,0.002096688950426613,365,140,505,28800,645,True
172.0,173.0,1324288,1250,0,0.0009430133274187537,0.0009430133274187537,300,128,428,28800,556,False
173.0,174.0,1323116,1838,0,0.0013872179713408919,0.0013872179713408919,330,135,465,28800,600,False
174.0,175.0,1324727,896,0,0.0006759086105174699,0.0006759086105174699,293,131,424,28800,555,False
175.0,176.0,1324249,826,0,0.0006233609418334811,0.0006233609418334811,254,88,342,28800,430,False
176.0,177.0,1323466,1523,0,0.0011494435048140022,0.0011494435048140022,316,79,395,28800,474,False
177.0,178.0,1324833,756,0,0.0005703125176808197,0.0005703125176808197,353,89,442,28800,531,False
178.0,179.0,1323405,1201,0,0.0009066847047348419,0.0009066847047348419,351,129,480,28800,609,True
179.0,180.0,1323352,1450,0,0.0010945031785881967,0.0010945031785881967,354,134,488,28800,622,True
180.0,181.0,1324530,1172,0,0.000884059916934575,0.000884059916934575,342,141,483,28800,624,True
181.0,182.0,1322626,2703,0,0.0020394935898935284,0.0020394935898935284,314,123,437,28800,560,False
182.0,183.0,1322737,2041,0,0.0015406354876062254,0.0015406354876062254,278,106,384,28800,490,False
183.0,184.0,1324055,1321,0,0.000996698295427109,0.000996698295427109,386,102,488,28800,590,False
184.0,185.0,1324090,675,0,0.000509524330730356,0.000509524330730356,257,102,359,28800,461,False
185.0,186.0,1323424,1238,0,0.0009345780282064406,0.0009345780282064406,313,123,436,28800,559,False
186.0,187.0,1322635,1339,0,0.0010113491654669955,0.0010113491654669955,289,130,419,28800,549,False
187.0,188.0,1323688,1605,0,0.001211052952064185,0.001211052952064185,334,139,473,28800,612,True
188.0,189.0,1323548,987,0,0.0007451671718754129,0.0007451671718754129,249,102,351,28800,453,False
189.0,190.0,1324200,472,0,0.0003563146197700261,0.0003563146197700261,264,111,375,28800,486,False
190.0,191.0,1323395,1038,0,0.0007837316043922192,0.0007837316043922192,246,125,371,28800,496,False
191.0,192.0,1323438,1625,0,0.0012263567845453387,0.0012263567845453387,310,129,439,28800,568,False
192.0,193.0,1324111,890,0,0.0006716976062659575,0.0006716976062659575,317,103,420,28800,523,False
193.0,194.0,1324265,1521,0,0.0011472439745177578,0.0011472439745177578,328,122,450,28800,572,False
194.0,195.0,1323740,1047,0,0.0007903157262261782,0.0007903157262261782,339,100,439,28800,539,False
195.0,196.0,1323448,1447,0,0.0010921620203865213,0.0010921620203865213,292,134,426,28800,560,False
196.0,197.0,1325858,710,0,0.000535215684382557,0.000535215684382557,261,107,368,28800,475,False
197.0,198.0,1325058,1291,0,0.0009733486435319814,0.0009733486435319814,323,104,427,28800,531,False
198.0,199.0,1320556,167,0,0.00012644589365067466,0.00012644589365067466,82,26,108,28800,134,False
199.0,200.0,1317080,0,0,0.0,0.0,0,0,0,28800,0,False
