setting_id,run_folder,load_level,background_flow_count,per_flow_rate_mbps,total_offered_rate_mbps,configured_total_offered_rate_mbps,focus_src,focus_dst,duration_s,traffic_stop_s,isl_capacity_mbps,gsl_capacity_mbps,directed_isl_link_count,total_directed_isl_capacity_mbps,reference_path_mode,reference_total_isl_hop_demand,reference_total_isl_hop_demand_unit,reference_average_isl_hop_count,offered_isl_resource_load_percent,initial_snapshot_reference_path_mode,initial_reference_total_isl_hop_demand,initial_offered_isl_resource_load_percent,reference_active_directed_isl_link_count,reference_active_capacity_load_percent,peak_reference_link_offered_rate_mbps,peak_reference_link_offered_load_percent,traffic_load_label,queue_aware_reference_label_if_available,reference_replay_success_ratio,confidence,algorithms_available,files_available,baseline_improvement_space_flag,notes,observed_pressure_condition,gsl_bottleneck_flag,safe_for_isl_focused_experiment
"load=1.8,bg=24",run_core_isl_hotspot_specific_src754_dst785_load_1p8x_bg_flow_count_24_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.800000000,24,3.000000000,78.000000000,78.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,954.750000000,Mbps*ISL-hop,12.240384615,3.315104167,baseline_shortest_path_fixed_t0,954.000000000,3.312500000,112,85.245535714,24.000000000,240.000000000,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Localized congestion,false,true
"load=2.0,bg=24",run_core_isl_hotspot_specific_src754_dst785_load_2x_bg_flow_count_24_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.000000000,24,3.333333000,86.666666666,86.666666667,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1060.833333323,Mbps*ISL-hop,12.240384615,3.683449074,baseline_shortest_path_fixed_t0,1059.999999989,3.680555556,112,94.717261904,26.666666666,266.666666664,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=1.6,bg=32",run_core_isl_hotspot_specific_src754_dst785_load_1p6x_bg_flow_count_32_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.600000000,32,2.666667000,90.666666668,90.666666667,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1072.666666680,Mbps*ISL-hop,11.830882353,3.724537037,baseline_shortest_path_fixed_t0,1072.000000013,3.722222222,136,78.872549021,29.333333334,293.333333337,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=1.8,bg=32",run_core_isl_hotspot_specific_src754_dst785_load_1p8x_bg_flow_count_32_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.800000000,32,3.000000000,102.000000000,102.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1206.750000000,Mbps*ISL-hop,11.830882353,4.190104167,baseline_shortest_path_fixed_t0,1206.000000000,4.187500000,136,88.731617647,33.000000000,330.000000000,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=1.6,bg=40",run_core_isl_hotspot_specific_src754_dst785_load_1p6x_bg_flow_count_40_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.600000000,40,2.666667000,112.000000001,112.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1211.333333348,Mbps*ISL-hop,10.815476190,4.206018519,baseline_shortest_path_fixed_t0,1216.000000015,4.222222222,140,86.523809525,40.000000001,400.000000005,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.0,bg=32",run_core_isl_hotspot_specific_src754_dst785_load_2x_bg_flow_count_32_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.000000000,32,3.333333000,113.333333332,113.333333333,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1340.833333320,Mbps*ISL-hop,11.830882353,4.655671296,baseline_shortest_path_fixed_t0,1339.999999987,4.652777778,136,98.590686274,36.666666666,366.666666663,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=1.8,bg=40",run_core_isl_hotspot_specific_src754_dst785_load_1p8x_bg_flow_count_40_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.800000000,40,3.000000000,126.000000000,126.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1362.750000000,Mbps*ISL-hop,10.815476190,4.731770833,baseline_shortest_path_fixed_t0,1368.000000000,4.750000000,140,97.339285714,45.000000000,450.000000000,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.2,bg=32",run_core_isl_hotspot_specific_src754_dst785_load_2p2x_bg_flow_count_32_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.200000000,32,3.666667000,124.666666668,124.666666667,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1474.916666680,Mbps*ISL-hop,11.830882353,5.121238426,baseline_shortest_path_fixed_t0,1474.000000013,5.118055556,136,108.449754903,40.333333334,403.333333337,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.0,bg=40",run_core_isl_hotspot_specific_src754_dst785_load_2x_bg_flow_count_40_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.000000000,40,3.333333000,139.999999999,140.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1514.166666652,Mbps*ISL-hop,10.815476190,5.257523148,baseline_shortest_path_fixed_t0,1519.999999985,5.277777778,140,108.154761904,49.999999999,499.999999995,Low,Moderate,1.000000000,high,algorithm_free_one_only_over_isls;algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.4,bg=32",run_core_isl_hotspot_specific_src754_dst785_load_2p4x_bg_flow_count_32_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.400000000,32,4.000000000,136.000000000,136.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1609.000000000,Mbps*ISL-hop,11.830882353,5.586805556,baseline_shortest_path_fixed_t0,1608.000000000,5.583333333,136,118.308823529,44.000000000,440.000000000,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.2,bg=40",run_core_isl_hotspot_specific_src754_dst785_load_2p2x_bg_flow_count_40_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.200000000,40,3.666667000,154.000000001,154.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1665.583333348,Mbps*ISL-hop,10.815476190,5.783275463,baseline_shortest_path_fixed_t0,1672.000000015,5.805555556,140,118.970238096,55.000000001,550.000000005,Low,Moderate,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.4,bg=40",run_core_isl_hotspot_specific_src754_dst785_load_2p4x_bg_flow_count_40_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.400000000,40,4.000000000,168.000000000,168.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,1817.000000000,Mbps*ISL-hop,10.815476190,6.309027778,baseline_shortest_path_fixed_t0,1824.000000000,6.333333333,140,129.785714286,60.000000000,600.000000000,Low,Moderate,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.2,bg=48",run_core_isl_hotspot_specific_src754_dst785_load_2p2x_bg_flow_count_48_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.200000000,48,3.666667000,183.333333335,183.333333333,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,2024.000000018,Mbps*ISL-hop,11.040000000,7.027777778,baseline_shortest_path_fixed_t0,2024.000000018,7.027777778,222,91.171171172,62.333333334,623.333333339,Low,Moderate,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.4,bg=48",run_core_isl_hotspot_specific_src754_dst785_load_2p4x_bg_flow_count_48_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.400000000,48,4.000000000,200.000000000,200.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,2208.000000000,Mbps*ISL-hop,11.040000000,7.666666667,baseline_shortest_path_fixed_t0,2208.000000000,7.666666667,222,99.459459459,68.000000000,680.000000000,Low,Moderate,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.6,bg=48",run_core_isl_hotspot_specific_src754_dst785_load_2p6x_bg_flow_count_48_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.600000000,48,4.333333000,216.666666665,216.666666667,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,2391.999999982,Mbps*ISL-hop,11.040000000,8.305555555,baseline_shortest_path_fixed_t0,2391.999999982,8.305555555,222,107.747747747,73.666666666,736.666666661,Low,Moderate,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true
"load=2.8,bg=48",run_core_isl_hotspot_specific_src754_dst785_load_2p8x_bg_flow_count_48_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.800000000,48,4.666667000,233.333333335,233.333333333,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,2576.000000018,Mbps*ISL-hop,11.040000000,8.944444445,baseline_shortest_path_fixed_t0,2576.000000018,8.944444445,222,116.036036037,79.333333334,793.333333339,Low,Moderate,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Overloaded,false,true
"load=3.0,bg=48",run_core_isl_hotspot_specific_src754_dst785_load_3x_bg_flow_count_48_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,3.000000000,48,5.000000000,250.000000000,250.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,2760.000000000,Mbps*ISL-hop,11.040000000,9.583333333,baseline_shortest_path_fixed_t0,2760.000000000,9.583333333,222,124.324324324,85.000000000,850.000000000,Low,Moderate,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Overloaded,false,true
"load=2.6,bg=56",run_core_isl_hotspot_specific_src754_dst785_load_2p6x_bg_flow_count_56_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,2.600000000,56,4.333333000,251.333333331,251.333333333,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,2833.999999978,Mbps*ISL-hop,11.275862069,9.840277778,baseline_shortest_path_fixed_t0,2833.999999978,9.840277778,226,125.398230088,90.999999999,909.999999993,Low,Moderate,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Overloaded,false,true
